FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/06/2024;ES17;1-;1274;1045;709;628;677;668;642;1024;1609;1947;2383;2881;
01/06/2024;ES17;1=;3575;3272;2484;2746;3023;3505;3327;3439;2287;1255;1770;1970;
01/06/2024;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES18;1-;199;203;139;112;87;94;115;191;341;446;574;612;
01/06/2024;ES18;1=;648;599;344;347;480;536;608;506;332;211;336;399;
01/06/2024;ES18;2-;454;334;213;149;144;114;97;146;367;605;800;843;
01/06/2024;ES18;2=;873;797;505;610;771;804;758;707;536;387;478;832;
01/06/2024;ES19;1-;507;371;352;263;261;300;290;356;556;657;760;777;
01/06/2024;ES19;1=;783;735;587;599;604;718;840;815;568;373;870;1354;
01/06/2024;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES20;1-;4863;0;3262;2144;1523;1341;1444;2554;3320;4888;6352;7188;
01/06/2024;ES20;1=;8379;9312;9853;9567;7017;6888;8035;8865;9143;9176;6304;4677;
01/06/2024;ES20;2-;4047;0;2715;1829;1336;1388;1954;3778;4822;6402;7710;7916;
01/06/2024;ES20;2=;8729;9479;9999;9545;6665;6512;8384;9425;9942;9079;5760;4035;
01/06/2024;ES21;1-;278;175;130;123;98;99;127;121;175;565;664;806;
01/06/2024;ES21;1=;829;775;390;429;612;599;806;918;547;278;658;720;
01/06/2024;ES21;2-;346;243;171;151;163;196;244;481;704;926;1119;1307;
01/06/2024;ES21;2=;1332;1083;576;581;928;1211;1383;1313;597;323;799;926;
01/06/2024;ES22;1-;634;510;395;258;264;263;333;360;489;590;768;903;
01/06/2024;ES22;1=;944;1031;882;793;721;810;897;908;917;699;508;566;
01/06/2024;ES22;2-;491;418;346;278;237;214;239;230;304;398;501;612;
01/06/2024;ES22;2=;689;644;616;555;446;512;605;649;586;516;427;504;
01/06/2024;ES23;1-;1359;1178;952;817;741;708;795;799;995;1273;1507;1880;
01/06/2024;ES23;1=;2136;1918;1945;1523;1359;1709;1863;1877;1818;1375;991;44;
01/06/2024;ES23;2-;1990;2031;1618;1414;1148;965;1051;841;852;1230;1445;1805;
01/06/2024;ES23;2=;1866;2004;2050;1838;1806;1905;1822;1818;1829;1645;1353;603;
01/06/2024;ES24;1-;427;380;328;220;182;144;145;147;177;305;394;539;
01/06/2024;ES24;1=;602;666;665;533;537;492;506;462;522;410;335;431;
01/06/2024;ES24;2-;304;288;269;203;180;155;149;172;281;356;461;555;
01/06/2024;ES24;2=;758;626;552;451;456;431;498;407;500;380;286;389;
01/06/2024;ES25;1-;152;182;153;161;141;104;99;107;112;143;148;155;
01/06/2024;ES25;1=;174;168;153;184;173;155;146;155;191;173;154;118;
01/06/2024;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES26;1-;227;312;238;222;176;144;148;140;130;175;227;343;
01/06/2024;ES26;1=;276;271;313;276;307;275;241;239;256;270;220;281;
01/06/2024;ES26;2-;273;264;279;215;174;152;153;171;192;245;315;339;
01/06/2024;ES26;2=;350;320;345;366;346;321;288;315;293;347;286;237;
01/06/2024;ES27;1-;2448;2243;1742;1458;1132;1114;1149;1197;1426;2032;2575;2843;
01/06/2024;ES27;1=;2911;3124;2965;2774;2611;2647;2708;2584;2740;2724;2156;81;
01/06/2024;ES27;2-;954;759;650;617;529;566;598;631;694;894;1021;1150;
01/06/2024;ES27;2=;1060;1085;895;937;1073;1096;999;987;909;621;1;0;
01/06/2024;ES28;1-;233;125;116;97;83;150;185;268;391;485;499;582;
01/06/2024;ES28;1=;601;542;375;406;447;553;515;559;390;322;417;484;
01/06/2024;ES28;2-;363;217;149;132;187;226;298;417;550;551;638;672;
01/06/2024;ES28;2=;740;606;454;478;622;748;771;686;469;312;458;452;
01/06/2024;ES29;1-;1484;1094;916;652;574;648;874;891;1190;1467;1658;1933;
01/06/2024;ES29;1=;2089;2084;1922;1589;1478;1717;1764;1763;1953;1462;1128;1926;
01/06/2024;ES29;2-;1455;896;695;551;485;495;733;865;1030;1355;1642;1889;
01/06/2024;ES29;2=;1868;1963;2173;1689;1351;1711;1662;1665;2020;1553;1254;1358;
01/06/2024;ES30;1-;263;195;174;129;115;110;119;118;154;259;421;427;
01/06/2024;ES30;1=;459;407;392;355;295;291;353;457;432;322;195;312;
01/06/2024;ES30;2-;392;296;263;213;213;163;158;199;290;466;562;594;
01/06/2024;ES30;2=;693;691;612;466;457;503;553;572;697;512;369;411;
01/06/2024;ES31;1-;102;88;50;52;35;44;53;61;91;134;160;208;
01/06/2024;ES31;1=;248;273;297;161;152;176;185;204;258;156;101;128;
01/06/2024;ES31;2-;87;70;52;36;37;33;55;76;103;164;180;235;
01/06/2024;ES31;2=;238;292;289;156;119;154;203;233;248;131;83;117;
01/06/2024;ES32;1-;348;342;273;225;195;164;203;229;304;352;518;587;
01/06/2024;ES32;1=;670;636;577;387;385;489;484;544;542;473;292;377;
01/06/2024;ES32;2-;85;79;74;86;43;52;51;31;55;56;79;55;
01/06/2024;ES32;2=;110;80;133;94;90;71;80;81;85;73;73;78;
01/06/2024;ES33;1-;465;276;176;133;116;164;238;331;422;758;942;1073;
01/06/2024;ES33;1=;1229;1243;1353;801;759;969;1192;1317;1454;767;454;578;
01/06/2024;ES33;2-;348;196;119;70;50;55;110;158;302;466;628;740;
01/06/2024;ES33;2=;761;868;738;475;405;502;564;589;680;427;305;294;
01/06/2024;ES34;1-;190;174;205;199;220;153;142;222;310;385;514;594;
01/06/2024;ES34;1=;426;357;311;315;309;295;269;223;214;250;246;199;
01/06/2024;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES36;1-;933;701;553;483;525;544;355;555;835;983;1252;1428;
01/06/2024;ES36;1=;1695;1637;1054;1103;1390;1825;1914;1741;1400;1067;1178;1326;
01/06/2024;ES36;2-;676;421;334;286;360;414;360;601;972;1443;1631;1922;
01/06/2024;ES36;2=;1873;1784;1147;1134;1535;1898;2005;1806;939;593;479;310;
01/06/2024;ES37;1-;545;362;315;235;216;305;332;438;702;926;1090;1189;
01/06/2024;ES37;1=;1324;1303;792;783;1078;1045;1187;1296;686;499;1205;1473;
01/06/2024;ES37;2-;435;286;178;174;234;360;458;774;1118;1215;1443;1603;
01/06/2024;ES37;2=;1740;1537;954;1018;1400;1799;2094;1682;709;540;1034;1060;
01/06/2024;ES38;1-;138;80;39;29;21;36;44;71;152;246;271;442;
01/06/2024;ES38;1=;510;554;476;266;238;326;355;424;499;236;136;211;
01/06/2024;ES38;2-;123;32;41;20;19;45;73;122;191;257;355;409;
01/06/2024;ES38;2=;408;428;348;207;213;262;328;335;367;139;107;217;
01/06/2024;ES39;1-;662;630;444;269;187;187;224;368;536;768;1013;1233;
01/06/2024;ES39;1=;1422;1674;1880;1832;1113;1075;1380;1769;1989;1939;1044;625;
01/06/2024;ES39;2-;747;720;416;278;165;135;151;336;471;985;1293;1743;
01/06/2024;ES39;2=;1778;1998;1945;2273;1129;1084;1264;1502;1685;1703;848;613;
01/06/2024;ES40;1-;705;454;283;299;298;328;360;554;869;1067;1459;1496;
01/06/2024;ES40;1=;1716;1644;1074;1025;1336;1521;1529;1636;875;609;1135;1082;
01/06/2024;ES40;2-;792;481;425;346;319;403;444;681;1030;1190;1484;1556;
01/06/2024;ES40;2=;1742;1590;992;978;1188;1224;1476;1522;1198;707;1504;1999;
01/06/2024;ES41;1-;395;297;264;236;283;296;378;476;671;892;877;987;
01/06/2024;ES41;1=;924;965;721;701;690;769;916;982;664;488;874;1057;
01/06/2024;ES41;2-;282;195;150;125;152;237;282;403;533;646;673;822;
01/06/2024;ES41;2=;840;851;597;593;610;682;861;870;557;402;671;793;
01/06/2024;ES42;1-;299;219;167;164;126;188;142;180;320;386;503;598;
01/06/2024;ES42;1=;545;481;334;322;376;357;385;329;205;173;9;55;
01/06/2024;ES42;2-;282;206;159;97;115;150;119;257;337;484;616;643;
01/06/2024;ES42;2=;691;687;408;436;548;541;509;460;211;167;460;401;
01/06/2024;ES43;1-;70;96;40;43;18;36;59;69;122;141;179;208;
01/06/2024;ES43;1=;189;250;193;129;112;122;168;198;172;100;81;133;
01/06/2024;ES43;2-;263;178;150;119;89;70;107;119;185;282;345;456;
01/06/2024;ES43;2=;512;512;487;325;332;361;367;379;408;290;233;310;
01/06/2024;ES44;1-;952;703;573;415;413;474;416;569;813;1163;1451;1609;
01/06/2024;ES44;1=;1584;1540;1233;1205;1314;1356;1286;1248;985;789;1158;903;
01/06/2024;ES44;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES44;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES45;1-;924;688;515;342;343;373;437;612;884;1070;1251;1502;
01/06/2024;ES45;1=;1689;1488;1111;1122;1269;1294;1437;1585;1276;1055;1575;1516;
01/06/2024;ES45;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES45;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES46;1-;197;159;107;101;152;208;354;432;597;711;746;814;
01/06/2024;ES46;1=;940;869;548;582;601;688;747;700;411;311;498;406;
01/06/2024;ES46;2-;278;173;111;113;145;206;273;372;524;673;764;835;
01/06/2024;ES46;2=;889;765;549;512;580;685;782;853;550;474;540;497;
01/06/2024;ES47;1-;349;307;169;161;135;154;201;312;521;603;711;730;
01/06/2024;ES47;1=;825;783;589;539;583;647;723;757;561;473;517;545;
01/06/2024;ES47;2-;375;335;245;229;214;252;306;389;495;636;699;757;
01/06/2024;ES47;2=;793;669;598;570;597;585;606;623;455;380;579;508;
01/06/2024;ES48;1-;269;151;122;106;111;253;273;441;555;652;737;886;
