TIPO DE TRANSPORTE;Ciudad;Viajeros y tasas;Periodo;Total
Transporte urbano regular por autobús;28079 Madrid;Variación anual;2024M07;-4,8
Urbano por metro;28079 Madrid;Variación anual;2024M07;9,6
