codigo;nombre_cruce;tramo;sentido;desde;hasta;latitud;longitud
2023_421; C. ESTRELLA POLAR;Pez Austral-Sirio;Pez Austral;15/11/2023;21/11/2023;40.411.100;-3.665.180
2023_424;C. EUGENIA DE MONTIJO;Emperatriz (Pz.)-Parterre (Pz.);Parterre (Pz.);16/11/2023;22/11/2023;40.375.166;-3.750.848
2023_425;C. EUGENIA DE MONTIJO;Emperatriz (Pz.)-Parterre (Pz.);Emperatriz (Pz.);16/11/2023;22/11/2023;40.375.159;-3.750.986
2023_426; Av. EURO;Óbolo-Pepión;Pepión;16/11/2023;22/11/2023;40.370.190;-3.739.370
2023_427;AVENIDA DEL EURO;PEPION-ÓBOLO;ÓBOLO;16/11/2023;22/11/2023;40.370.412;-3.739.193
2023_428; C. FEDERICO MOMPOU;Carretera Acceso a la N-I Madrid-Burgos-Maria Tubau;Isabel Collbrand;16/11/2023;22/11/2023;40.512.200;-3.679.690
2023_436; C. FERRAZ;Marques de Urquijo-Altamirano;Altamirano;16/11/2023;22/11/2023;40.429.550;-3.720.690
2023_437;C. FERROCARRIL;Santa Maria De La Cabeza (Gta) - Batalla Del Salado;Batalla Del Salado;27/10/2023;02/11/2023;40.400.980;-3.697.680
2023_440;AV. FILIPINAS;Vallehermoso - Galileo;Galileo;19/05/2023;25/05/2023;40.440.460;-3.708.900
2023_443;PSO. FLORIDA, LA;Mozart - Ermita Del Santo De La Florida;Ermita Del Santo De La Florida;28/06/2023;04/07/2023;40.424.683;-3.725.300
2023_444;PSO. FLORIDA, LA;Mozart - Ermita Del Santo De La Florida;Mozart;28/06/2023;04/07/2023;40.424.650;-3.725.183
2023_450; Av. FRANCISCO PI Y MARGALL;Maria de Portugal-Burgos A-1;Burgos A-1;16/11/2023;22/11/2023;40.494.780;-3.665.900
2023_451; C. FRANCISCO Y JACINTO ALCANTARA;Paseo de Camoens-Paseo del Pintor Rosales;Paseo de Camoens;17/11/2023;23/11/2023;40.429.150;-3.723.070
2023_452; C. FRANCISCO Y JACINTO ALCANTARA;Paseo de Camoens-Paseo del Pintor Rosales;Paseo del Pintor Rosales;17/11/2023;23/11/2023;40.429.150;-3.723.070
2023_455; C. FUENCARRAL;Manuela Malasana-Divino Pastor;Divino Pastor;17/11/2023;23/11/2023;40.428.170;-3.702.150
2023_456; C. FUENCARRAL;Manuela Malasana-Divino Pastor;Manuela Malasana;17/11/2023;23/11/2023;40.428.170;-3.702.150
2023_457;#¿NOMBRE?;Ctra. De Fuencarral a Hortaleza-Puerto de Somport;Puerto de Somport;17/11/2023;23/11/2023;40.494.370;-3.674.190
2023_458;#¿NOMBRE?;Ctra. De Fuencarral a Hortaleza-Puerto de Somport;Ctra. De Fuencarral a Hortaleza;17/11/2023;23/11/2023;40.494.370;-3.674.190
2023_467; Av. FUERZAS ARMADAS;Alejandro de la Sota-Francisco Umbral;Alejandro de la Sota;17/11/2023;23/11/2023;40.482.100;-3.622.900
2023_468;Avenida FUERZAS ARMADAS;Alejandro de la Sota-Francisco Umbral;Francisco Umbral;17/11/2023;23/11/2023;40.482.320;-3.629.610
2023_471; C. GENERAL ARANAZ;Maria Lombillo-Lopez de Aranda;Lopez de Aranda;17/11/2023;23/11/2023;40.442.820;-3.638.600
2023_472; Av. GENERAL FANJUL;Jose de Cadalso-General Romero Basart;Jose de Cadalso;16/11/2023;22/11/2023;40.382.460;-3.773.960
2023_473; Av. GENERAL FANJUL;Jose de Cadalso-General Romero Basart;General Romero Basart;16/11/2023;22/11/2023;40.382.620;-3.773.990
2023_474;C. GENERAL IBANEZ DE IBERO;Reina Victoria (Av) - San Francisco De Sales(Pso);Reina Victoria (Av);18/05/2023;24/05/2023;40.445.051;-3.710.386
2023_475;C. GENERAL IBANEZ DE IBERO;Reina Victoria (Av) - San Francisco De Sales(Pso);San Francisco De Sales(Pso);18/05/2023;24/05/2023;40.445.050;-3.710.580
2023_478; C. GENERAL ORAA;Emilio Castelar (Gt¦.)-Hermanos Becquer;Hermanos Becquer;02/06/2023;08/06/2023;40.435.870;-3.687.840
2023_480; C. GENERAL RICARDOS;Azabache-San Patricio;Azabache;17/11/2023;23/11/2023;40.392.480;-3.725.310
2023_481; C. GENERAL RICARDOS;Azabache-San Patricio;San Patricio;17/11/2023;23/11/2023;40.392.060;-3.725.460
2023_482; C. GENERAL RICARDOS;Nuestra Senora de la Luz-Monsenor Oscar Romero;Monsenor Oscar Romero;20/11/2023;26/11/2023;40.382.460;-3.742.900
