codigo;nombre_cruce;tramo;sentido;desde;hasta;latitud;longitud
2023_843;PTE. PONTON DE SAN ISIDRO;Ermita Del Santo - Los Pontones;Paseo De Los Pontones;02/11/2023;08/11/2023;40.403.941;-3.720.699
2023_847; C. PRADILLO;Pantoja-Saturnino Calleja;Saturnino Calleja;28/03/2023;03/04/2023;40.449.060;-3.671.590
2023_849;AV. PRINCIPAL;Principal De Provincias - Autovia Del Suroeste;Autovia Del Suroeste;04/11/2023;10/11/2023;40.411.318;-3.739.079
2023_850;AV. PRINCIPAL;Principal De Provincias - Autovia Del Suroeste;Principal De Provincias;04/11/2023;10/11/2023;40.411.328;-3.739.006
2023_851; C. PRINCIPE DE VERGARA;Padilla-Juan Bravo;Juan Bravo;28/11/2023;04/12/2023;40.431.960;-3.679.600
2023_852; C. PRINCIPE DE VERGARA;Padilla-Juan Bravo;Padilla;28/11/2023;04/12/2023;40.432.050;-3.679.680
2023_853; C. PRINCIPE DE VERGARA;Padilla-Juan Bravo;Juan Bravo;28/11/2023;04/12/2023;40.431.960;-3.679.600
2023_854; C. PRINCIPE DE VERGARA;Alcala-Jorge Juan;Alcala;28/11/2023;04/12/2023;40.423.060;-3.680.350
2023_859;PSO. PUERTA DEL ANGEL, LA;Portugal (Av) - Principal De Provincias;Portugal (Av);04/11/2023;10/11/2023;40.414.732;-3.730.029
2023_860;PSO. PUERTA DEL ANGEL, LA;Portugal (Av) - Principal De Provincias;Principal De Provincias;04/11/2023;10/11/2023;40.414.765;-3.729.977
2023_867;#¿NOMBRE?;Foresta-Quintanadueñas;Quintanadueñas;29/11/2023;05/12/2023;40.495.630;-3.672.030
2023_868;#¿NOMBRE?;Foresta-Quintanadueñas;Foresta;28/11/2023;04/12/2023;40.495.660;-3.672.060
2023_869;Paseo QUINCE DE MAYO;Julian Gonzalez-Santa Saturnina;Santa Saturnina;29/11/2023;05/12/2023;40.398.010;-3.719.190
2023_870;Paseo QUINCE DE MAYO;Julian Gonzalez-Santa Saturnina;Santa Saturnina;29/11/2023;05/12/2023;40.398.010;-3.719.190
2023_871;Calle Quintanavides;QUINTADUEÑAS-FORESTA;FORESTA;29/11/2023;05/12/2023;40.500.459;-3.667.683
2023_872;Calle Quintanavides;BURGOS-FORESTA;BURGOS;29/11/2023;05/12/2023;40.498.655;-3.668.980
2023_885; C. REAL DE ARGANDA M-303;Poza de la Sal-Cirilo Martinez Novillo;Cirilo Martinez Novillo;29/11/2023;05/12/2023;40.377.170;-3.606.530
2023_886;C. REAL DE ARGANDA M-303;Poza De La Sal - Cirilo Martinez Novillo;Poza De La Sal;11/03/2023;17/03/2023;40.377.070;-3.606.550
2023_891; Paseo. RECOLETOS;Recoletos-Villanueva;Villanueva;30/11/2023;06/12/2023;40.422.990;-3.691.410
2023_892;Paseo. RECOLETOS;Recoletos-Villanueva;Recoletos;30/11/2023;06/12/2023;40.422.910;-3.692.000
2023_893;Lateral Pa RECOLETOS;Recoletos-Villanueva;Villanueva;30/11/2023;06/12/2023;40.422.818;-3.691.084
2023_894;Lateral Pa RECOLETOS;Recoletos-Villanueva;Recoletos;30/11/2023;06/12/2023;40.423.043;-3.691.878
2023_898;LATERAL AV. REYES CATOLICOS;Avda De La Memoria - Cristo Rey (Pza);Avda De La Memoria;19/05/2023;25/05/2023;40.438.058;-3.719.162
2023_899;TUNEL AV. REYES CATOLICOS;Avda De La Memoria - Cristo Rey (Pza);Cristo Rey (Pza);30/05/2023;05/06/2023;40.438.192;-3.719.214
2023_900;TUNEL AV. REYES CATOLICOS;Avda De La Memoria - Cristo Rey (Pza);Avda De La Memoria;30/05/2023;05/06/2023;40.438.100;-3.719.250
2023_905; C. RIOS ROSAS;Modesto Lafuente-Alonso Cano;Alonso Cano;30/11/2023;06/12/2023;40.441.790;-3.696.890
2023_910;c. RIVERA DE CURTIDORES;Mira El Sol - Casino;Casino;02/11/2023;08/11/2023;40.406.688;-3.707.218
2023_911;LATERAL C. RONDA DE SEGOVIA;Glorieta Puerta De Toledo - Aguila;Aguila;28/10/2023;03/11/2023;40.407.820;-3.713.950
2023_912;LATERAL C. RONDA DE SEGOVIA;Glorieta Puerta De Toledo - Aguila;Glorieta Puerta De Toledo;28/10/2023;03/11/2023;40.407.610;-3.714.100
2023_801;PEDRO LABORDE;ENTRE AVDA PALOMERAS Y ARROYO DEL OLIVAR;ARROYO DEL OLIVAR;15/09/2023;21/09/2023;40.386.432;-3.649.802
2023_913;TUNEL C. RONDA DE SEGOVIA;Glorieta Puerta Toledo - Aguila;Glorieta Puerta Toledo;28/10/2023;03/11/2023;40.407.550;-3.714.150
2023_914;TUNEL C. RONDA DE SEGOVIA;Glorieta Puerta Toledo - Aguila;Aguila;28/10/2023;03/11/2023;40.407.560;-3.714.130
2023_915;C. RONDA SEGOVIA;Moreno Nieto - Manzanares;Moreno Nieto;02/11/2023;08/11/2023;40.412.500;-3.717.617
2023_916;C. RONDA SEGOVIA;Moreno Nieto - Manzanares;Manzanares;02/11/2023;08/11/2023;40.412.457;-3.717.500
2023_921;C. SAGASTA;Manuel Silvela-Covarrubias;Manuel Silvela;30/11/2023;06/12/2023;40.428.117;-3.697.696
2023_922; C. SAGASTA;Manuel Silvela-Covarrubias;Covarrubias;30/11/2023;06/12/2023;40.427.950;-3.697.740
2023_929; C. SAN BERNARDO;Glorieta Ruiz Jimenez-Rodriguez San Pedro;Rodriguez San Pedro;30/11/2023;06/12/2023;40.430.330;-3.705.180
2023_930; C. SAN BERNARDO;Glorieta Ruiz Jimenez-Rodriguez San Pedro;Glorieta Ruiz Jimenez;30/11/2023;06/12/2023;40.430.660;-3.705.240
2023_931; C. SAN BERNARDO;San Vicente Ferrer-Palma;Palma;30/11/2023;06/12/2023;40.426.260;-3.707.060
2023_932; C. SAN BERNARDO;San Vicente Ferrer-Palma;San Vicente Ferrer;30/11/2023;06/12/2023;40.426.260;-3.707.060
2023_936;AV. SAN DIEGO;Carlos Martin Alvarez - Puerto De La Bonaigua;Puerto De La Bonaigua;13/04/2023;19/04/2023;40.385.280;-3.666.340
2023_937;PSO. SAN FRANCISCO DE SALES;General Ibanez De Ibero - Avenida De Pablo Iglesias;Avenida De Pablo Iglesias;20/05/2023;26/05/2023;40.444.380;-3.709.750
2023_938;PSO. SAN FRANCISCO DE SALES;General Ibanez De Ibero - Avenida De Pablo Iglesias;General Ibanez De Ibero;18/05/2023;24/05/2023;40.444.210;-3.709.640
2023_941;AV. SAN LUIS;Condado De Trevino - Arturo Soria;Condado De Trevino;04/10/2023;10/10/2023;40.478.591;-3.671.440
2023_942;AV. SAN LUIS;Condado De Trevino - Arturo Soria;Arturo Soria;04/10/2023;10/10/2023;40.478.520;-3.671.610
2023_945;C. SAN MANUEL;Paseo de Extremadura-Camino de Campamento;Paseo de Extremadura;06/12/2023;12/12/2023;40.402.620;-3.760.660
2023_946; C. SAN MANUEL;Paseo de Extremadura-Camino de Campamento;Camino de Campamento;06/12/2023;12/12/2023;40.402.630;-3.760.620
2023_947;Lateral C. SAN MANUEL;Paseo de Extremadura-Camino de Campamento;Paseo de Extremadura;06/12/2023;12/12/2023;40.402.300;-3.760.610
2023_948;Lateral C. SAN MANUEL;Paseo de Extremadura-Camino de Campamento;Camino de Campamento;06/12/2023;12/12/2023;40.402.390;-3.760.322
2023_953;LATERAL CSTA. SAN VICENTE;Paseo Del Rey - Glorieta De San Vicente;Paseo Del Rey;31/10/2023;06/11/2023;40.419.980;-3.718.080
2023_954;LATERAL CSTA. SAN VICENTE;Paseo Del Rey - Glorieta De San Vicente;Glorieta De San Vicente;31/10/2023;06/11/2023;40.420.452;-3.718.843
2023_965;Avd.NICETO ALCALÁ ZAMORA;Sauceda-Ana de Austria;Sauceda;06/12/2023;12/12/2023;40.500.721;-3.659.014
2023_970; C. SAUCEDA;ABETAL-SANTO DOMINGO DE LA CALZADA;ABETAL;06/12/2023;12/12/2023;40.502.576;-3.663.464
2023_971; C. SAUCEDA;ABETAL-SANTO DOMINGO DE LA CALZADA;SANTO DOMINGO DE LA CALZADA;06/12/2023;12/12/2023;40.503.951;-3.666.658
2023_972;C. SEGOVIA;Plaza De La Cruz Verde - Ronda Segovia;Ronda Segovia;02/11/2023;08/11/2023;40.413.910;-3.715.860
2023_973;C. SEGOVIA;Plaza De La Cruz Verde - Ronda Segovia;PLAZA DE LA CRUZ VERDE;02/11/2023;08/11/2023;40.413.910;-3.715.860
2023_974;PTE. SEGOVIA;Virgen Del Puerto - Puente Segovia (Gta);Virgen Del Puerto;28/10/2023;03/11/2023;40.413.920;-3.723.140
2023_975;PTE. SEGOVIA;Virgen Del Puerto - Puente Segovia (Gta);Puente Segovia (Gta);31/10/2023;06/11/2023;40.414.030;-3.722.530
2023_980; C. SEPULVEDA;Paseo de la Ermita del Santo-Neguilla;Paseo de la Ermita del Santo;07/12/2023;13/12/2023;40.408.800;-3.724.620
2023_981;C. SERRANO;General Oraa - Diego De Leon;Diego De Leon;25/05/2023;31/05/2023;40.435.620;-3.686.380
2023_987;#¿NOMBRE?;Acceso N-V-Illescas;Illescas;07/12/2023;13/12/2023;40.398.150;-3.763.733
2023_988;#¿NOMBRE?;SESEÑA-Escalona;Acceso N-V;07/12/2023;13/12/2023;40.398.217;-3.762.983
2023_989;#¿NOMBRE?;Escalona-Acceso N-V;Escalona;07/12/2023;13/12/2023;40.398.217;-3.762.983
2023_990;#¿NOMBRE?;Acceso N-V-Illescas;Acceso N-V;07/12/2023;13/12/2023;40.398.150;-3.763.733
2023_992; C SIERRA DE ATAPUERCA;C SAN JUAN ORTEGA-C VILORIA DE LA RIOJA;C VILORIA DE LA RIOJA;11/12/2023;17/12/2023;40.502.430;-3.670.770
2023_1011; C. SIRIO;Acceso de M-30-Estrella Polar;Estrella Polar;11/12/2023;17/12/2023;40.410.360;-3.664.100
2023_1012; C. SIRIO;Acceso de M-30-Estrella Polar;Acceso de M-30;11/12/2023;17/12/2023;40.410.270;-3.664.230
2023_1029;C. TIMON;Alar Del Rey - Gran Poder;Alar Del Rey;15/09/2023;21/09/2023;40.473.142;-3.584.122
2023_1030;TIMON;ENTRE ALAR DEL REY Y GRAN PODER;GRAN PODER;15/09/2023;21/09/2023;40.473.198;-3.584.048
2023_1034;C. TOLEDO;Capitan Salazar Martinez - Glorieta Puerta Toledo;Puerta Toledo (Gta);28/10/2023;03/11/2023;40.407.360;-3.711.300
2023_1035;C. TOLEDO;Capitan Salazar Martinez - Glorieta Puerta Toledo;Capitan Salazar Martinez;28/10/2023;03/11/2023;40.407.380;-3.711.290
2023_1036;AV. TOREROS, DE LOS;Cartagena - Pilar De Zaragoza;Cartagena;31/05/2023;06/06/2023;40.432.050;-3.669.190
2023_1055; C. VALLE DE ORO;Portalegre-Argeso;Argeso;14/11/2023;20/11/2023;40.387.210;-3.724.960
2023_1063;#¿NOMBRE?;Amapolas-Brisa;Amapolas;12/12/2023;18/12/2023;40.443.433;-3.716.467
2023_1064;#¿NOMBRE?;Amapolas-Brisa;Brisa;12/12/2023;18/12/2023;40.443.433;-3.716.470
2023_1066; C. VALMOJADO;Illescas-Maqueda;Maqueda;15/11/2023;21/11/2023;40.391.580;-3.758.480
2023_1067; C. VALMOJADO;Illescas-Maqueda;Illescas;15/11/2023;21/11/2023;40.391.580;-3.754.880
2023_1080;C. VIA CARPETANA;Caramuel - Ermita Del Santo;Ermita Del Santo;31/10/2023;06/11/2023;40.405.421;-3.725.298
2023_1083;CTRA. DE VICALVARO A LA ESTACION DE O DONNELL;FRANCISCO DE TORRES CATALAN-ABAD JUAN CATALAN;FRANCISCO DE TORRES CATALAN;12/12/2023;18/12/2023;40.404.212;-3.592.031
2023_1087; Camino Camino Viejo de Burgos;CALLE QUINTA-CALLE MONTORO;CALLE MONTORO;12/12/2023;18/12/2023;40.480.730;-3.632.580
2023_1088; Camino Camino Viejo de Burgos;CALLE QUINTA-CALLE MONTORO;CALLE QUINTA;12/12/2023;18/12/2023;40.480.730;-3.632.580
2023_1089; C. VIEJO DE LEGANES;Pelicano-Avefria;Pelicano;14/11/2023;20/11/2023;40.384.050;-3.728.990
2023_1090; C§ VIEJO DE LEGANES;Pelicano-Avefria;Avefria;14/11/2023;20/11/2023;40.384.050;-3.728.990
2023_1105;C. VILLAMARIN;Villagarcia - Villasandino;Villagarcia;04/11/2023;10/11/2023;40.405.436;-3.753.303
2023_1106;C. VILLAMARIN;Villagarcia - Villasandino;Villasandino;04/11/2023;10/11/2023;40.405.503;-3.753.164
2023_1113;LATERAL PSO. VIRGEN DEL PUERTO;Fosforo - Moreno Nieto;Moreno Nieto;02/11/2023;08/11/2023;40.410.900;-3.721.310
2023_1114; C. VITRUVIO;Jorge Manrique-San Juan de la Cruz (Pz.);Jorge Manrique;13/12/2023;19/12/2023;40.441.570;-3.690.520
2023_1115;C. VITRUVIO;Jorge Manrique - San Juan De La Cruz (Pza);San Juan De La Cruz (Pza);24/05/2023;30/05/2023;40.441.490;-3.690.760
2023_1120;Lateral Paseo. YESERIAS;Piramides (Gt¦)-Carmen Cobena;Piramides (Gt¦);13/12/2023;19/12/2023;40.400.530;-3.713.610
2023_1121;Tunel Paseo. YESERIAS, LAS;Piramides (Gt¦.)-Carmen Cobena;Piramides (Gt¦.);12/12/2023;18/12/2023;40.400.370;-3.713.400
2023_1122;Lateral Paseo. YESERIAS, LAS;Piramides (Gt¦.)-Carmen Cobena;Carmen Cobena;12/12/2023;18/12/2023;40.400.370;-3.713.400
2023_1125;C. ZURBANO;Espronceda - Breton De Los Herreros;Breton De Los Herreros;25/05/2023;31/05/2023;40.440.170;-3.692.830
2023_385;C. DUQUESA DE PARCENT;Cuart De Poblet - Glorieta De Los Carmenes;Cuart De Poblet;08/06/2023;14/06/2023;40.395.345;-3.746.581
2023_1091;CMO. VIEJO DE VICALVARO;M-40 - Plaza De Alosno;Plaza Alosno;21/04/2023;27/04/2023;40.406.164;-3.621.030
2023_15;Av. ALBERTO ALCOCER;Padre Damian-Condes del Val;Condes del Val;13/11/2023;19/11/2023;40.458.623;-3.682.944
2023_16; C. Alberto ALCOCER;Padre Damian-Menendez Pidal;Padre Damian;13/11/2023;19/11/2023;40.350.204;-3.703.609
2023_22; Av. ALBUFERA;Teniente Munoz Diaz-Avenida de Buenos Aires;Teniente Munoz Diaz;13/11/2023;19/11/2023;40.391.590;-3.654.880
2023_25; C. ALCALA;Cedaceros-Gran Via;Cedaceros;13/11/2023;19/11/2023;40.418.339;-3.698.149
2023_26; C. ALCALA;Cedaceros-Gran Via;Gran Via;13/11/2023;19/11/2023;40.418.245;-3.698.094
2023_35; C. ALCALA;Cardenal Belluga-Julio Camba;Cardenal Belluga;30/05/2023;05/06/2023;40.430.040;-3.664.180
2023_39;  ALCALDE MORENO TORRES;Camino Fuente de la Mora-Plaza del Alcalde Moreno Torres;Plaza del Alcalde Moreno Torres;13/11/2023;19/11/2023;40.487.395;-3.658.081
2023_40;  ALCALDE MORENO TORRES;Camino Fuente de la Mora-Plaza del Alcalde Moreno Torres;Plaza del Alcalde Moreno Torres;13/11/2023;19/11/2023;40.487.395;-3.658.081
2023_48;C. ALEJANDRO DUMAS;Piramides (GtÝ.)-Paseo de Los Melancolicos;Paseo de Los Melancolicos;13/11/2023;19/11/2023;40.401.141;-3.716.321
2023_104; C. ARCOS DEL JALON;Ceramistas-Paramento;Ceramistas;13/11/2023;19/11/2023;40.428.530;-3.611.480
2023_105; C. ARCOS DEL JALON;Ceramistas-Paramento;Paramento;13/11/2023;19/11/2023;40.426.419;-3.613.702
2023_137;C. ARTURO SORIA;Dalia-Avenida Manuel Azana;Dalia;14/11/2023;20/11/2023;40.480.270;-3.666.920
2023_194; Av. BUENOS AIRES;Avenida de La Albufera-Arroyo del Olivar;Arroyo del Olivar;14/11/2023;20/11/2023;40.390.150;-3.653.430
2023_195; Av. BUENOS AIRES;Avenida de La Albufera-Arroyo del Olivar;Avenida de La Albufera;14/11/2023;20/11/2023;40.390.300;-3.653.220
2023_281;Av. Cerro Milano;Jose Gutierrez Maroto-Cañada del Santisimo;Jose Gutierrez Maroto;14/11/2023;20/11/2023;40.361.998;-3.604.973
2023_282;AV. Cerro Milano;Jose Gutierrez Maroto-Cañada del Santisimo;Cañada del Santisimo;14/11/2023;20/11/2023;40.362.039;-3.604.994
2023_435; C. FERNANDO EL CATOLICO;Guzman el Bueno-Andres Mellado;Andres Mellado;16/11/2023;22/11/2023;40.434.300;-3.713.610
2023_449;  FRANCISCO PI Y MARGALL;Maria de Portugal-Burgos A-1;Maria de Portugal;14/11/2023;20/11/2023;40.494.686;-3.665.970
2023_519; C. GUABAIRO;Juan Alonso-Avenida Nuestra Senora de Fatima;Avenida Nuestra Senora de Fatima;14/11/2023;20/11/2023;40.386.310;-3.745.500
2023_527; C. GUTIERREZ CANALES;Alcala-Rafael de la Hoz;Alcala;14/11/2023;20/11/2023;40.446.820;-3.612.840
2023_528; C. GUTIERREZ CANALES;Alcala-Rafael de la Hoz;Rafael de la Hoz;14/11/2023;20/11/2023;40.446.940;-3.612.970
2023_557;AV. Invierno;Agosto-Yecora;Agosto;14/11/2023;20/11/2023;40.442.257;-3.573.342
2023_558;AV. Invierno;Agosto-Yecora;Agosto;14/11/2023;20/11/2023;40.442.264;-3.573.352
2023_581; C. JORGE JUAN;Fuente del Berro-Doctor Esquerdo;Doctor Esquerdo;22/11/2023;28/11/2023;40.433.140;-3.670.100
2023_596; C. JUAN BRAVO;Conde Penalver-Alcantara;Conde Penalver;22/11/2023;28/11/2023;40.432.300;-3.674.040
2023_647;Calle Maestra Justa Freire;Rafael Finat-General Romero Basart;Rafael Finat;15/11/2023;21/11/2023;40.378.650;-3.769.050
2023_648;C. Maestra Justa Freire;General Romero Basart-Rafael Finat;General Romero Basart;15/11/2023;21/11/2023;40.377.701;-3.766.485
2023_700;#¿NOMBRE?;Andrés Mellado-Guzmán el Bueno;Guzmán el Bueno;15/11/2023;21/11/2023;40.433.067;-3.713.780
2023_715;Calle Monasterio de Arlanza;m-607- NUESTRA SEÑORA DE VALVERDE;NUESTRA SEÑORA DE VALVERDE;15/11/2023;21/11/2023;40.508.095;-3.687.955
2023_813;#¿NOMBRE?;Ferraz-Rey Francisco;Ferraz;22/11/2023;28/11/2023;40.425.483;-3.718.050
2023_844;#¿NOMBRE?;María de Guzmán-Maudes;María de Guzmán;28/11/2023;04/12/2023;40.444.417;-3.698.900
2023_865; C. PUERTO DE PORZUNA;Fuentidueña-Cabeza Mesada;Cabeza Mesada;28/11/2023;04/12/2023;40.374.970;-3.622.120
2023_866; C. PUERTO DE PORZUNA;Fuentidueña-Cabeza Mesada;Fuentidueña;28/11/2023;04/12/2023;40.375.020;-3.622.160
2023_873;C.Rafael Finat;Blas Cabrera-Jose de Cadalso;Jose de Cadalso;15/11/2023;21/11/2023;40.379.863;-3.769.265
2023_874;  RAFAEL FINAT;Blas Cabrera-Jose Cadalso;Blas Cabrera;15/11/2023;21/11/2023;40.379.850;-3.769.270
2023_956; C. SANTA ENGRACIA;Maria de Guzman-Maudes;Maudes;06/12/2023;12/12/2023;40.444.880;-3.703.060
2023_991; C SIERRA DE ATAPUERCA;C SAN JUAN ORTEGA-C VILORIA DE LA RIOJA;C SAN JUAN ORTEGA;17/11/2023;23/11/2023;40.502.430;-3.670.770
2023_1065;C. VALLEHERMOSO;Cea Bermúdez-Joaquín María López;Cea Bermúdez;12/12/2023;18/12/2023;40.437.881;-3.708.360
2023_1070;C. VELAZQUEZ;Diego De Leon - General Oraa;General Oraa;04/04/2023;10/04/2023;40.435.560;-3.683.350
